Name,Lot No.,Kilometers,Price
Duke 200 54 Lot,54,,"Rs. 1,85,000"
Duke 200 54 Lot,54,,"Rs. 1,85,000"
71 Lot 200duke On Sale Or Exg With V3,71,,"Rs. 2,65,000"
Ktm Duke 200,99,"11,000","Rs. 4,65,000"
Rc200,10,,Rs. 280
Duke 250 On Sale.,97,8k,"Rs. 4,45,000"
Well Maintained Duke 200 On Sale,69,28000,"Rs. 2,70,000"
Ktm Duke On Sale,82,25,"Rs. 3,00,000"
Ktm Duke 390 For Sell Or Exchange,73,30000,"Rs. 2,75,000"
Ktm Duke 390 For Sell Or Exchange,73,30000,"Rs. 2,75,000"
Rajesh,57,34,"Rs. 2,45,000"
Ktm Duke 200 Like New Full Fresh On Sale,57,20000,"Rs. 2,40,000"
Ktm Duke 390,73,18,"Rs. 3,10,000"
Ktm Rc 390 Sell Or Exchange,73,,"Rs. 3,05,999"
Ktm Duke 200,10,14000,"Rs. 4,00,000"
Ktm Rc 390,73,24000,"Rs. 3,80,000"
R200,73,25000,"Rs. 2,80,000"
Ktm Engine Repair,1,,"Rs. 15,000"
Rc 390,69,25+,"Rs. 3,75,000"
Ktm 390,86,18500,"Rs. 5,20,000"
Duke On Sale,76,41000,"Rs. 2,80,000"
Rc 390,71,20400,"Rs. 3,20,000"
Ktm Duke 390 Sale Sale Salee,62,,"Rs. 3,29,999"
Ktm Duke 390 Sale Sale Salee,62,,"Rs. 3,29,999"
Ktm 390 Part (self),80,,"Rs. 15,500"
