Name,Lot No.,Kilometers,Price
Honda Xr150 On Sale,74,17.5k,"Rs. 3,20,000"
Well Condition Scooter(ladies Driven),71,,"Rs. 1,20,000"
Single Hand Used Officers Fav Honda 125cc Bike Cb Shine,64,30000,"Rs. 1,10,900"
Honda Aviator,07,,"Rs. 1,85,000"
Honda Xr250 Tornado,8 ,32000,"Rs. 4,65,000"
Honda Xr250 Tornado,8 ,32000,"Rs. 4,65,000"
Honda Grazia Std,12,4810,"Rs. 1,90,000"
Cbr 250r,68,42000,"Rs. 2,40,000"
Splendor Nxg On Sale,42,46872,"Rs. 55,000"
Honda Unicorn150 Fress Bike,51,35000,"Rs. 90,000"
Dio On Sale,56,28000,"Rs. 86,000"
Honda Shine 125cc,58,,"Rs. 65,000"
Honda Dio,96,14500,"Rs. 1,62,999"
Honda Dio,96,14500,"Rs. 1,62,999"
Avator G,95,10000,"Rs. 1,55,000"
Fresh Honda Dio Grey-110 Cc,88,,"Rs. 1,43,000"
Honda Hornet 160r,80,22000,"Rs. 1,60,000"
Honda Shine On Sell,30,52000,"Rs. 59,000"
Wanted Honda Tornado Original Exaust,46,,"Rs. 45,000"
Honda Xr 250 Tornado,42,30000,"Rs. 5,20,000"
"Aviator 97 Lot, 8700km Urgent Sale (1 Week Offer)",97,8700,"Rs. 1,55,000"
Dio Scooty On Sale,66,19000,"Rs. 1,15,000"
Cb Trigger 63,63,No Ide,"Rs. 99,000"
Honda Hornet 160 R New,- ,,"Rs. 3,10,900"
Honda Shine,50,,"Rs. 85,000"
Honda Bike For Sale,1 ,52,"Rs. 70,000"
Dio Scooter On Sale,64,,"Rs. 1,10,000"
Dio Scooter On Sale,64,,"Rs. 1,10,000"
Honda Xl 185s Japenese,4 ,90000,"Rs. 1,70,000"
Honda Aviator,47,31000,"Rs. 75,000"
Honda Shine,37,27000,"Rs. 1,30,000"
Honda Xr,13,5200,"Rs. 4,40,000"
"Honda Unicorn 160 ""urgent Sale""",32,33100,"Rs. 1,85,000"
Honda Aviator Lot 85 On Sell,85,,"Rs. 1,26,999"
Unicorn Honda 150 Good Condition,92,40000,"Rs. 95,000"
Unicorn Honda 150 Good Condition,92,40000,"Rs. 95,000"
