Name,Lot No.,Kilometers,Price
Rs200 On Sale,70,,"Rs. 1,79,000"
Pulsar 2.20,70,,"Rs. 1,60,000"
Urgent Sales,18,13000,"Rs. 2,10,000"
Ns200,94,19000,"Rs. 2,15,000"
Bajaj Pulsar Ns200,96,,"Rs. 2,30,000"
Mint Condition Ns 200,12,9000,"Rs. 2,95,000"
Pulsar 220,69,,"Rs. 1,60,000"
Pulsar 180 Limited Edition Orange Colour,45,44000,"Rs. 70,000"
Bike On Sale,00,19000,"Rs. 2,65,000"
Bajaj Rs 200,72,34000,"Rs. 1,70,000"
Ns 200,93,20000,"Rs. 2,35,000"
Pulsar 150,90,23k,"Rs. 1,70,000"
Pulsar 150,90,23k,"Rs. 1,70,000"
Pulsar 003 Lot,03,No Ide,"Rs. 1,99,000"
On Sale 220 Avenger,57,,"Rs. 1,25,000"
Avenger 220,44,27300,"Rs. 90,000"
Pulsar 220 Cc 78 Lot Black/blue On Urgent Sale At 175 K,78,40000,"Rs. 1,75,000"
Sales,74,,"Rs. 1,55,000"
200 Ns Fresh N Onehand Bike,07,9221,"Rs. 2,90,000"
Bajaj 150 Pulsar,23,38000,"Rs. 80,000"
Bajaj 150 Pulsar,23,38000,"Rs. 80,000"
Urgent Sale 220 Pulsar,47,,"Rs. 1,20,000"
Selling,82,,"Rs. 1,50,000"
Discover 125 37 Lot,37,No Ide,"Rs. 55,000"
220 Pulsar,55,53799,"Rs. 1,20,000"
87 Lot Ko 150 Pulsar Urjant Sel,87,19456,"Rs. 1,65,000"
Ns 200,11,,"Rs. 1,99,999"
Urgent Need Money..220 Sell..,41,,"Rs. 85,000"
Pulasr 150,78,28,"Rs. 1,35,000"
Bajaj Avenger-220 On Sale,59,32000,"Rs. 1,35,000"
Avenger 150,31,,"Rs. 1,28,000"
"150 C/c Discover, 83 Lot",83,24000,"Rs. 1,15,000"
200ns,84,25000,"Rs. 2,10,000"
220f Sale,11,24000,"Rs. 2,00,000"
220f Sale,11,24000,"Rs. 2,00,000"
220 Bike For Sale,52,40000,"Rs. 1,95,000"
Fresh Pulsar 150 21 Lot,21,52000,"Rs. 53,000"
Pulsar 150,84,,"Rs. 1,65,000"
200 Ns,00,15000,"Rs. 2,59,000"
Pulsar 150,42,,"Rs. 90,000"
Pulsar 220f,13,4500,"Rs. 2,85,000"
Pulsar150 On Sale,10,9500,"Rs. 2,00,000"
Pulsar150 On Sale,10,9500,"Rs. 2,00,000"
Fresh Condition Pulsar 220f Bike On Sale...,40,,"Rs. 92,000"
Ns 200(red) On Selll.. Urgent,83,22500,"Rs. 2,00,000"
Dominar 400,91,21k,"Rs. 3,00,000"
Sales,91,13500,"Rs. 2,00,000"
Pulsur 220 Lot 83 Single Hand Bike Only Rs 185000,83,39000,"Rs. 1,85,000"
150 As,79,37000,"Rs. 90,000"
Ns200 Sale Or Exchange,98,17000,"Rs. 2,30,000"
Bajaj 220 Pulsar Exchange Or Sale,38,30k,"Rs. 1,60,000"
Bajaj Avenjer 220 Crusie Sale,17,400,"Rs. 3,30,000"
Pulsar 150 For Sale,36,,"Rs. 80,000"
Urgent Sell Contact Me. 9841095597,61,,"Rs. 1,10,000"
Discover Bajaj 100 C C,55,,"Rs. 55,000"
Ns 200 Sale,79,26000,"Rs. 1,70,000"
Ns 200 Sale,79,26000,"Rs. 1,70,000"
Ns 200 On Sale,54,30000,"Rs. 1,35,000"
Pulsar Ns200 Bike,06,11000,"Rs. 2,55,000"
Ns 200 Contact If Interested,7 ,4500,"Rs. 2,75,000"
150 Pulsar,02,19595,"Rs. 2,00,000"
Ns 200 Single Handed Fresh,57,40000,"Rs. 1,30,000"
150cc Pulsar Ba 92 Pa 4122,92,13810,"Rs. 1,85,000"
Ns 200,54,42000,"Rs. 1,45,000"
Ns 200,54,42000,"Rs. 1,45,000"
Pulsur 220 On Sale,71,48000,"Rs. 1,50,000"
Bike Sale,95,22000,"Rs. 1,50,000"
Ns 200 On Sell,01,15k,"Rs. 2,60,000"
Pulsar 150,75,31000,"Rs. 1,30,000"
Bajaj Pulsar 150 Dtsi,- ,,"Rs. 2,60,900"
Ns Bike For Sale Call 9841065360,10,18000,"Rs. 1,70,000"
Old Is Gold On Sale,58,14000,"Rs. 2,00,000"
Ns 200 Abs,12,,"Rs. 3,04,000"
Pulsar 150,43,,"Rs. 85,000"
220 On Sale,78,,"Rs. 1,63,000"
Ns 200 On Sell,93,20000,"Rs. 2,40,000"
Pulsar 180 On Sale,33,39118,"Rs. 1,15,000"
Ns200,65,17000,"Rs. 2,85,000"
Ns200,65,17000,"Rs. 2,85,000"
220 Pulsar,50,20000,"Rs. 1,55,000"
Ns 200 Urgent Sale,64,72000,"Rs. 1,30,000"
Ns200,15,22343,"Rs. 2,50,000"
Bajaj Avenger 220 Dtsi (2015 Model),59,14500,"Rs. 1,30,000"
Pulsar 220f,11,19600,"Rs. 2,65,000"
Bajaj Pulsar Ns200 106 Lot,6 ,,"Rs. 2,75,000"
Bajaj Discover 125 On Sale,25,,"Rs. 40,000"
Bajaj Discover 125 On Sale,25,,"Rs. 40,000"
Dominar 400 White Colour,95,15000,"Rs. 3,50,000"
Pulsar 150 Twin Disc,11,11000,"Rs. 2,10,000"
Avenger Bike For Sale .,06,8000,"Rs. 2,65,000"
Black Pulsar 220 For Sale,48,35k,"Rs. 1,50,000"
Avenger Bike For Emergency Sale,37,,"Rs. 60,000"
Bajaj Avenger,64,40000,"Rs. 1,30,000"
Pulsar 220f Urjent Sell,87,30000,"Rs. 2,10,000"
Pulsar 150cc(black)-single Handed,40,,"Rs. 95,000"
Pulsar 220,60,52980,"Rs. 1,30,000"
Motorcycle,10,7000,"Rs. 2,60,000"
Urgent Sell,02,16000,"Rs. 2,75,000"
Pulsar 220,90,10k,"Rs. 2,30,000"
Bajaj Pulsar 200ns (abs),Na,,"Rs. 3,39,900"
Bajaj Pulsar 200ns (abs),Na,,"Rs. 3,39,900"
Bajaj Ns 200cc Fi-abs (013),13,3500,"Rs. 3,18,000"
70 Lot As On Sale,70,,"Rs. 99,000"
Ns200 On Sale / 96lot,96,22000,"Rs. 2,25,000"
Raman Kunwar,70,,"Rs. 95,000"
200 Cc,31,00000,"Rs. 50,000"
Bajaj Pulsar 150,41,,"Rs. 80,000"
Discover 150 Cc,09,39423,"Rs. 85,000"
Discover 150 Cc,09,39423,"Rs. 85,000"
Pulsar 200 Ns,14,4500,"Rs. 3,50,000"
220f,35,34000,"Rs. 1,40,000"
Pulsar On Sale,82,,"Rs. 1,80,000"
Pulsar 150dts Dual Disk,12,,"Rs. 2,20,000"
Ns200,07,18k,"Rs. 2,80,000"
Ns200 Pardesh 3 8 Lot Ko Ho,8 ,10000,"Rs. 2,50,000"
Ns 200 Fresh Condition,85,"17,000","Rs. 2,18,000"
Pulsar Ns 200 White Colour,89,22k,"Rs. 2,15,000"
Pulsar 220,80,28000,"Rs. 1,82,000"
Pulsar 150,82,22136,"Rs. 1,55,000"
Bajaj Pulsar 160ns Abs,Na,,"Rs. 2,90,900"
First 100 Piece Of This Model (ns),84,25000,"Rs. 2,20,000"
200ns On Sale,88,18k,"Rs. 2,12,000"
200ns On Sale,88,18k,"Rs. 2,12,000"
150 Bajaj On Sale,89,21000,"Rs. 1,65,000"
